store,friendly name,city,state,zip,address,
1866,Athens,Athens,OH,45701,983 East State St,
1867,Bethlehem,Bethlehem,PA,18018,1235 Martin Ct,
1868,Bloomsburg,Bloomsburg,PA,17815,50 Lunger Dr,
1869,Millington,Millington,TN,38053,8490 Highway 51 North,
1870,Gainesville,Gainesville,VA,20155,13000 Gateway Center Dr,
1871,Vallejo,Vallejo,CA,94591,401 Columbus Pkwy,
1872,Puente Hills,City Of Industry,CA,91748,17789 Castleton St,
1873,Northridge,Northridge,CA,91324,19601 West Nordhoff St,
1874,Longmont,Longmont,CO,80501,355 Ken Pratt Blvd,
1875,Atlanta-Edgewood,Atlanta,GA,30307,1280 Caroline St N.E.,
1877,Jefferson Highway,Jefferson,LA,70121,121 Jefferson Highway,
1878,Apex,Apex,NC,27502,1101 Beaver Creek Commons Dr,
1879,Greenland,Greenland,NH,3840,1440 Greenland Rd,
1880,Amsterdam,Amsterdam,NY,12010,4825 State Highway 30,
1881,E. Amherst,Williamsville,NY,14221,8150 Transit Rd,
1882,Orchard Park,Orchard Park,NY,14127,3195 Southwestern Blvd,
1883,W. Amherst,Amherst,NY,14228,1659 Niagara Falls Blvd,
1886,Pottstown,Pottstown,PA,19465,1136 Town Square Rd,
1887,Longview,Longview,WA,98632,2850 Ocean Beach Highway,
1888,Beckley,Beckley,WV,25801,1210 North Eisenhower Dr,
1889,Milford,Milford,MA,1757,40 Fortune Blvd,
1890,Mcminnville,Mc Minnville,TN,37110,1339 Smithville Highway Suite 10
1891,Claremore,Claremore,OK,74019,1746 South Lynn Riggs Blvd,
1892,Palestine,Palestine,TX,75801,2715 South Loop 256,
1893,S. Jackson,Jackson,TN,38301,2071 South Highland Ave,
1894,Bedford,Bedford,IN,47421,3300 16th St,
1895,Fremont,Fremont,CA,94538,43612 Pacific Commons Blvd,
1896,Grand Forks,Grand Forks,ND,58201,4001 32nd Ave South,
1897,Orange Park,Orange Park,FL,32073,2285 Kingsley Ave,
1898,Rosenberg,Rosenberg,TX,77471,28005 Southwest Freeway,
1899,Sulphur,Sulphur,LA,70663,305 South Cities Service Highway,
1900,Aliso Viejo,Aliso Viejo,CA,92656,26501 Aliso Creek Rd,
1901,Cotati,Cotati,CA,94931,7921 Redwood Dr,
1903,N. Lakewood,Lakewood,CO,80215,10555 West Colfax Ave,
1904,Kalispell,Kalispell,MT,59901,2360 Highway 93 North,
1905,Glenwood Springs,Glenwood Springs,CO,81601,215 West Meadows Dr,
1906,Idaho Falls,Idaho Falls,ID,83404,925 E 17th St,
1907,Bedford,Bedford,NH,3110,222 South River Rd,
1908,Oswego,Oswego,NY,13126,445 State Route 104,
1909,Stafford,Stafford,VA,22556,1330 Stafford Market Pl,
1910,Kimball,Kimball,TN,37347,525 Dixie Lee Center Rd,
1911,Riverview,Riverview,FL,33578,10425 Gibsonton Dr,
1913,South Burlington,South Burlington,VT,5403,189 Hannaford Dr,
